Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,18.361799,19.761801,17.527100,17.607901,0.136995,406252541
2000-01-31,17.877100,18.415600,16.234800,16.854099,0.131130,252021879
2000-02-29,16.961800,17.607901,15.965600,17.204100,0.133853,193967137
2000-03-31,17.500200,18.361799,16.584801,17.769501,0.138252,207735351
2000-04-30,17.769501,19.654100,17.177099,18.442600,0.264663,236688727
2000-05-31,18.442600,19.708000,17.823299,19.384899,0.278186,160870121
2000-06-30,19.250200,20.408001,18.469500,18.469500,0.265049,145683327
2000-07-31,18.631001,21.538700,18.361799,21.000299,0.301368,329395604
2000-08-31,21.027201,22.346399,20.192600,20.461800,0.293640,297041618
2000-09-30,20.542601,21.754101,19.384899,19.438700,0.278958,183128733
2000-10-31,19.761801,20.784901,19.384899,20.031000,0.287458,173392004
2000-11-30,19.923300,20.677200,18.469500,20.084900,0.288231,132171934
2000-12-31,20.084900,21.054100,19.492599,20.677200,0.296731,164188960
2001-01-31,20.515600,21.538700,19.600300,20.461800,0.293640,200275322
2001-02-28,20.515600,21.269501,19.330999,20.138700,0.289003,229875738
2001-03-31,20.354099,21.377199,19.761801,21.377199,0.306776,142005991
2001-04-30,21.377199,21.431000,19.815599,21.080999,0.302526,363725281
2001-05-31,21.108000,21.754101,20.731001,21.296400,0.555734,294257945
2001-06-30,21.296400,21.511801,20.192600,20.865700,0.544495,159323604
2001-07-31,20.757999,20.946400,20.219500,20.704100,0.540278,181272577
2001-08-31,20.731001,21.161800,16.692499,17.527100,0.457373,178409735
2001-09-30,17.607901,18.792500,16.719400,18.254101,0.476345,253708499
2001-10-31,18.415600,19.169500,17.823299,18.631001,0.486180,256816647
2001-11-30,18.523300,20.354099,18.523300,20.246401,0.528334,158755586
2001-12-31,20.246401,21.269501,19.600300,20.542601,0.536063,295632289
2002-01-31,20.461800,20.569500,19.788700,20.408001,0.532551,90008999
2002-02-28,20.461800,23.261801,20.300301,23.019501,0.600699,0
2002-03-31,23.019501,23.746500,21.754101,22.265699,0.581028,284473269
2002-04-30,22.265699,23.477200,21.431000,21.700300,0.566274,235658748
2002-05-31,21.646400,21.781000,18.631001,19.277201,0.887036,321745626
2002-06-30,19.330999,19.761801,15.642500,16.961800,0.780493,352950590
2002-07-31,17.096399,17.877100,15.831000,17.231001,0.792881,391878868
2002-08-31,17.096399,17.446400,14.861700,15.023300,0.691294,426022577
2002-09-30,15.023300,16.315599,14.700200,15.427100,0.709875,584452777
2002-10-31,15.292500,15.965600,14.700200,15.723300,0.723504,377601876
2002-11-30,15.804100,17.015600,15.669400,16.719400,0.769339,490552592
2002-12-31,16.719400,17.096399,15.104000,15.615600,0.718548,537447612
2003-01-31,15.723300,15.884800,14.107900,14.781000,0.680144,643200318
2003-02-28,14.861700,15.373300,13.192500,14.754000,0.678902,486050155
2003-03-31,14.834800,16.369400,14.538600,15.938700,0.733416,402816222
2003-04-30,15.938700,16.692499,15.319400,15.938700,0.733416,463670852
2003-05-31,16.127100,20.246401,16.127100,19.115601,2.417848,825845046
2003-06-30,19.169500,20.569500,18.254101,20.219500,2.557476,613587891
2003-07-31,20.219500,21.377199,20.004101,21.215700,2.683481,634156687
2003-08-31,21.215700,21.404100,19.277201,19.330999,2.445093,707442779
2003-09-30,19.384899,21.538700,19.357901,21.431000,2.710713,600384183
2003-10-31,21.619499,22.211800,20.731001,21.027201,2.659638,417913003
2003-11-30,21.134899,22.346399,20.704100,22.104099,2.795850,371949792
2003-12-31,22.104099,24.581100,22.077200,23.504200,2.972943,481377086
2004-01-31,23.746500,27.273399,23.019501,27.219601,3.442887,510487259
2004-02-29,27.300400,28.377300,25.496500,25.820400,3.265909,592839243
2004-03-31,25.910000,27.912300,24.057199,24.087099,3.046672,421436256
2004-04-30,23.937700,25.461800,23.608900,24.893999,3.148732,430919383
2004-05-31,25.043400,27.464001,24.923800,26.926100,6.229696,507218599
2004-06-30,26.926100,27.314600,25.342199,26.477800,6.125977,417005308
2004-07-31,26.298500,27.015800,25.043400,25.700800,5.946206,503930627
2004-08-31,25.880100,30.063999,25.820400,29.287001,6.775920,662514778
2004-09-30,29.526100,31.169800,27.344500,28.031900,6.485537,541267753
2004-10-31,28.390499,30.482401,27.553699,29.974400,6.934958,609185576
2004-11-30,29.824900,29.914600,27.792801,28.510000,6.596151,498110494
2004-12-31,28.689301,29.824900,27.643400,28.898500,6.686036,397185104
2005-01-31,29.137600,32.574299,29.107700,32.155899,7.439676,457902652
2005-02-28,32.155899,32.723801,30.781200,31.259399,7.232260,419857988
2005-03-31,31.558300,32.634102,29.824900,30.452499,7.045574,470623474
2005-04-30,30.452499,31.618000,29.257099,31.319201,7.246097,376184293
2005-05-31,31.498501,35.861599,31.498501,35.861599,23.993139,429217825
2005-06-30,35.712200,38.700699,35.383499,36.937500,24.712969,402788570
2005-07-31,37.176601,40.882301,36.877701,40.523701,27.112309,346720008
2005-08-31,41.001801,44.737400,40.224800,43.811001,29.311674,526979241
2005-09-30,43.990299,44.259300,36.190399,38.909901,26.032602,553263573
2005-10-31,38.551300,41.360401,38.103001,40.374199,27.012285,452650951
2005-11-30,40.643200,44.319000,40.523701,41.420200,27.712109,413910113
2005-12-31,41.390301,50.564899,41.390301,48.801701,32.650692,616234633
2006-01-31,48.652302,49.578701,44.976501,47.128201,31.531042,511169900
2006-02-28,47.516701,55.645302,46.739700,54.270599,36.309647,536840925
2006-03-31,54.659100,59.590099,53.643002,56.721199,37.949223,419981447
2006-04-30,57.109699,59.171700,44.976501,50.505100,33.790348,685856412
2006-05-31,51.401699,52.298199,42.436298,49.309799,35.465103,701654008
2006-06-30,49.757999,53.792500,48.562599,52.298199,37.614456,340816455
2006-07-31,52.895901,53.344200,48.413200,48.712101,35.035225,510477841
2006-08-31,49.309799,50.654598,41.913300,43.556999,31.327517,703806850
2006-09-30,43.930500,47.965000,40.344299,44.901798,32.294739,819215202
2006-10-31,45.200600,47.965000,43.706402,45.574200,32.778347,823097810
2006-11-30,45.947701,58.723400,43.556999,57.826900,41.590862,1001077574
2006-12-31,57.826900,60.441799,52.671799,60.292400,43.364132,805802506
2007-01-31,60.740700,61.711899,56.332699,56.780899,40.838554,557113994
2007-02-28,57.005100,60.815399,54.091301,60.217701,43.310406,385350340
2007-03-31,60.068298,63.579700,59.545300,62.309601,44.814960,286805816
2007-04-30,62.309601,67.539398,60.740700,64.326797,46.265793,566849344
2007-05-31,64.924500,69.183098,62.757900,68.137100,53.110622,400349783
2007-06-30,68.137100,74.711800,64.625702,67.539398,52.644730,319514318
2007-07-31,65.821098,66.941704,57.976299,64.551003,50.315376,411167057
2007-08-31,64.401497,72.395699,64.028000,70.079597,54.624741,588688313
2007-09-30,70.475098,78.305603,67.803497,72.593903,56.584549,388613077
2007-10-31,72.870300,79.134804,62.460300,70.475098,54.933022,218229634
2007-11-30,70.290802,73.515198,65.960999,71.488403,55.722858,119145084
2007-12-31,71.488403,72.041199,46.154301,58.406799,45.526180,302484262
2008-01-31,59.880798,71.672699,58.959499,68.816803,53.640430,257720032
2008-02-29,66.697998,70.659302,60.709900,68.356201,53.281406,147562537
2008-03-31,68.171997,74.804901,65.408203,69.830200,54.430336,216082548
2008-04-30,69.830200,79.871803,68.908997,74.620697,58.164375,196545797
2008-05-31,74.897003,75.081299,68.356201,68.540497,54.500694,159961869
2008-06-30,68.356201,73.054604,52.787201,59.880798,47.614841,187711803
2008-07-31,57.761902,58.314701,49.931400,53.432098,42.487095,119251080
2008-08-31,53.063599,53.247799,28.097900,35.698200,28.385798,187984792
2008-09-30,36.665501,37.678799,19.806700,25.794800,20.511009,240705310
2008-10-31,26.808201,28.143999,18.470900,23.169300,18.423313,186546914
2008-11-30,23.399599,26.393600,19.207899,25.610500,20.364460,180990155
2008-12-31,25.610500,30.400999,21.188601,22.846800,18.166870,197396039
2009-01-31,22.478300,26.439699,19.806700,21.004299,16.701788,163475284
2009-02-28,20.451599,25.472401,18.194500,23.399599,18.606436,259692761
2009-03-31,23.215300,28.558500,22.340099,27.176701,21.609835,200313559
2009-04-30,27.176701,32.750198,27.176701,31.045900,24.686474,235750165
2009-05-31,31.045900,36.665501,29.157301,30.400999,24.173672,266706956
2009-06-30,30.631300,33.164700,24.873600,33.164700,26.371256,266555256
2009-07-31,33.348999,35.836300,31.248600,33.164700,26.371256,251610987
2009-08-31,33.450298,37.310299,31.460400,35.412601,28.158701,248923511
2009-09-30,35.762600,41.059799,33.717499,34.776901,27.653219,282150153
2009-10-31,34.463699,39.244900,33.164700,36.849701,29.301428,163675729
2009-11-30,37.457699,45.463299,37.107700,44.873699,35.681789,142037824
2009-12-31,44.873699,47.582199,38.793499,40.074100,31.865339,189003355
2010-01-31,39.797699,41.907299,35.762600,36.665501,29.154959,249430122
2010-02-28,37.199799,41.778400,36.803699,41.732300,33.183876,210232808
2010-03-31,41.732300,45.776600,40.995300,42.192902,33.550129,205861943
2010-04-30,42.331100,43.758999,33.192402,35.523102,28.246567,233578016
2010-05-31,35.513901,37.218201,29.459999,29.750000,23.945999,194439445
2010-06-30,29.100000,35.840000,28.020000,32.700001,26.320475,264563390
2010-07-31,33.360001,34.450001,29.530001,30.049999,24.187469,218420283
2010-08-31,30.250000,36.070000,29.959999,35.500000,28.574211,231350984
2010-09-30,35.680000,38.139999,34.500000,35.860001,28.863981,216991420
2010-10-31,36.400002,39.740002,36.029999,36.520000,29.395222,255564470
2010-11-30,36.700001,42.950001,36.700001,42.610001,34.297104,174281442
2010-12-31,43.099998,45.080002,41.730000,43.340000,34.884689,227510860
2011-01-31,43.610001,46.930000,42.500000,46.099998,37.106236,209724937
2011-02-28,46.279999,46.639999,39.900002,45.360001,36.510601,208717826
2011-03-31,45.330002,48.590000,45.299999,46.500000,37.428196,126491481
2011-04-30,46.500000,46.790001,39.240002,43.169998,34.747860,163141232
2011-05-31,43.400002,43.400002,37.299999,41.310001,33.842102,138592448
2011-06-30,41.310001,42.450001,37.020000,38.520000,31.556467,128713637
2011-07-31,39.320000,39.450001,28.799999,32.750000,26.829548,224429096
2011-08-31,32.849998,33.689999,25.500000,27.070000,22.176365,179539203
2011-09-30,26.170000,31.000000,24.530001,29.070000,23.814808,176166283
2011-10-31,28.150000,30.340000,23.760000,27.660000,22.659704,158632513
2011-11-30,27.959999,28.080000,24.650000,27.740000,22.725241,119918708
2011-12-31,27.750000,31.870001,27.559999,31.000000,25.395906,150774923
2012-01-31,30.000000,34.580002,29.549999,33.599998,27.525887,146434405
2012-02-29,33.500000,33.810001,30.410000,31.010000,25.404100,132034244
2012-03-31,31.379999,31.700001,27.719999,27.840000,22.807163,98669751
2012-04-30,27.840000,28.639999,24.730000,25.370001,20.783684,112989179
2012-05-31,25.600000,28.219999,24.660000,26.700001,22.521923,100420187
2012-06-30,26.660000,26.950001,22.969999,24.600000,20.750536,115990120
2012-07-31,24.730000,26.160000,24.049999,24.830000,20.944546,66953288
2012-08-31,24.799999,29.480000,24.110001,26.840000,22.640018,94869349
2012-09-30,26.629999,28.150000,25.129999,25.670000,21.653101,95597161
2012-10-31,25.600000,27.250000,24.709999,27.160000,22.909941,69128369
2012-11-30,27.240000,28.320000,26.250000,27.879999,23.517275,61070765
2012-12-31,27.879999,29.090000,26.139999,26.170000,22.074860,105143717
2013-01-31,26.240000,27.790001,25.400000,25.400000,21.425350,118299255
2013-02-28,25.400000,25.840000,24.900000,25.299999,21.340996,73069970
2013-03-31,25.299999,27.290001,24.480000,27.000000,22.774981,91892770
2013-04-30,27.000000,27.500000,25.940001,26.730000,22.547226,58150530
2013-05-31,26.549999,26.950001,24.100000,24.240000,21.023378,65323046
2013-06-30,24.309999,25.680000,23.780001,25.049999,21.725893,68391702
2013-07-31,25.110001,26.120001,24.530001,24.639999,21.370300,70450356
2013-08-31,24.770000,25.870001,24.660000,24.930000,21.621819,61353404
2013-09-30,25.000000,28.639999,24.510000,26.600000,23.070211,100861497
2013-10-31,26.610001,27.500000,25.200001,26.180000,22.705944,248638430
2013-11-30,26.160000,27.270000,24.950001,27.070000,23.477840,108598158
2013-12-31,27.070000,31.190001,26.660000,28.459999,24.683390,210790186
2014-01-31,28.500000,30.219999,27.610001,29.700001,25.758842,111320233
2014-02-28,29.299999,30.170000,28.040001,29.850000,25.888941,106292912
2014-03-31,29.990000,31.950001,29.469999,31.809999,27.588850,109963402
2014-04-30,31.809999,33.580002,31.610001,32.500000,28.187286,109355286
2014-05-31,32.669998,34.480000,32.439999,32.830002,29.149080,88040521
2014-06-30,32.919998,38.820000,32.849998,37.400002,33.206688,138561959
2014-07-31,37.160000,37.630001,33.000000,36.400002,32.318810,117454316
